symbol,itm_call,open_interest_call,imp_vol_call,volume_call,change_call,percent_change_call,last_price_call,bid_call,ask_call,strike,expire_date,bid_put,ask_put,last_price_put,change_put,percent_change_put,volume_put,open_interest_put,imp_vol_put,itm_put,contract_size_call,contract_symbol_call,last_trade_date_call,currency_call,contract_size_put,contract_symbol_put,last_trade_date_put,currency_put
DOCU,Y,1,3.1464865087890628,1.0,0.0,0.0,19.03,18.95,21.45,54.0,2024-11-08,0.0,0.63,0.05,0.0,0.0,6.0,23,2.2304731738281243,N,REGULAR,DOCU241108C00054000,2024-10-18 14:52:04+00:00,USD,REGULAR,DOCU241108P00054000,2024-10-18 13:44:27+00:00,USD
DOCU,Y,1,2.92969017578125,,0.0,0.0,12.8,17.95,20.35,55.0,2024-11-08,0.0,0.65,0.15,0.0,0.0,,8,2.1406296484375,N,REGULAR,DOCU241108C00055000,2024-10-08 16:43:10+00:00,USD,REGULAR,DOCU241108P00055000,2024-10-08 16:39:52+00:00,USD
DOCU,Y,13,2.464847587890625,2.0,0.0,0.0,15.9,16.0,18.1,57.0,2024-11-08,0.0,0.64,0.16,0.0,0.0,2.0,4,1.92578162109375,N,REGULAR,DOCU241108C00057000,2024-10-18 19:44:12+00:00,USD,REGULAR,DOCU241108P00057000,2024-10-15 14:17:38+00:00,USD
DOCU,Y,3,1.671876640625,2.0,3.4900007,27.96475,15.97,15.85,17.1,58.0,2024-11-08,0.0,1.28,0.13,0.0,0.0,1.0,307,2.1679733300781248,N,REGULAR,DOCU241108C00058000,2024-10-25 16:43:43+00:00,USD,REGULAR,DOCU241108P00058000,2024-10-17 13:31:20+00:00,USD
DOCU,Y,4,2.301762058105468,2.0,0.0,0.0,11.73,14.05,16.2,59.0,2024-11-08,0.0,0.14,1.0,0.0,0.0,,1,1.2851598242187499,N,REGULAR,DOCU241108C00059000,2024-11-01 15:16:43+00:00,USD,REGULAR,DOCU241108P00059000,2024-10-07 19:22:50+00:00,USD
DOCU,Y,20,1.5507834960937497,2.0,0.0,0.0,11.13,14.2,14.85,60.0,2024-11-08,0.0,0.32,0.05,0.0,0.0,21.0,41,1.39453427734375,N,REGULAR,DOCU241108C00060000,2024-11-01 18:43:28+00:00,USD,REGULAR,DOCU241108P00060000,2024-10-31 18:43:08+00:00,USD
DOCU,Y,1,2.328129179687499,1.0,0.0,0.0,8.95,11.65,14.6,61.0,2024-11-08,0.0,1.53,0.01,-0.01,-50.0,2.0,30,1.927734736328125,N,REGULAR,DOCU241108C00061000,2024-10-30 19:12:26+00:00,USD,REGULAR,DOCU241108P00061000,2024-11-05 17:16:33+00:00,USD
DOCU,Y,11,2.1035203662109367,1.0,0.0,0.0,9.5,10.9,13.45,62.0,2024-11-08,0.01,0.76,0.12,0.0,0.0,3.0,85,1.4882838085937498,N,REGULAR,DOCU241108C00062000,2024-11-04 16:41:05+00:00,USD,REGULAR,DOCU241108P00062000,2024-10-31 13:41:50+00:00,USD
DOCU,Y,13,2.0976610058593748,1.0,0.0,0.0,7.43,9.65,12.65,63.0,2024-11-08,0.0,0.12,0.03,0.0,0.0,6.0,17,0.9414068359375,N,REGULAR,DOCU241108C00063000,2024-10-25 15:53:38+00:00,USD,REGULAR,DOCU241108P00063000,2024-11-05 18:26:24+00:00,USD
DOCU,Y,11,1.759766826171875,8.0,0.0,0.0,5.45,8.65,11.3,64.0,2024-11-08,0.0,1.53,0.22,0.0,0.0,10.0,12,1.5810567822265622,N,REGULAR,DOCU241108C00064000,2024-11-04 16:07:26+00:00,USD,REGULAR,DOCU241108P00064000,2024-10-28 19:13:56+00:00,USD
