symbol,itm_call,open_interest_call,imp_vol_call,volume_call,change_call,percent_change_call,last_price_call,bid_call,ask_call,strike,expire_date,bid_put,ask_put,last_price_put,change_put,percent_change_put,volume_put,open_interest_put,imp_vol_put,itm_put,contract_size_call,contract_symbol_call,last_trade_date_call,currency_call,contract_size_put,contract_symbol_put,last_trade_date_put,currency_put
TSLA,Y,13,1.0000000000000003e-05,1.0,0.0,0.0,176.66,0.0,0.0,75.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,4.0,620,0.500005,N,REGULAR,TSLA241108C00075000,2024-11-05 20:54:44+00:00,USD,REGULAR,TSLA241108P00075000,2024-11-05 20:58:26+00:00,USD
TSLA,Y,7,1.0000000000000003e-05,2.0,0.0,0.0,169.4,0.0,0.0,80.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,11.0,2316,0.500005,N,REGULAR,TSLA241108C00080000,2024-10-31 18:37:27+00:00,USD,REGULAR,TSLA241108P00080000,2024-11-05 20:47:50+00:00,USD
TSLA,Y,20,1.0000000000000003e-05,2.0,0.0,0.0,163.88,0.0,0.0,85.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,3.0,4211,0.500005,N,REGULAR,TSLA241108C00085000,2024-11-01 19:31:34+00:00,USD,REGULAR,TSLA241108P00085000,2024-11-05 14:50:02+00:00,USD
TSLA,Y,11,1.0000000000000003e-05,10.0,0.0,0.0,161.98,0.0,0.0,90.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,386.0,5709,0.500005,N,REGULAR,TSLA241108C00090000,2024-11-01 13:36:14+00:00,USD,REGULAR,TSLA241108P00090000,2024-11-04 15:11:54+00:00,USD
TSLA,Y,4,1.0000000000000003e-05,,0.0,0.0,153.56,0.0,0.0,95.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,210.0,1663,0.500005,N,REGULAR,TSLA241108C00095000,2024-10-24 14:05:27+00:00,USD,REGULAR,TSLA241108P00095000,2024-11-04 20:20:08+00:00,USD
TSLA,Y,65,1.0000000000000003e-05,2.0,0.0,0.0,144.66,0.0,0.0,100.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,5.0,801,0.500005,N,REGULAR,TSLA241108C00100000,2024-11-04 19:05:28+00:00,USD,REGULAR,TSLA241108P00100000,2024-11-05 18:23:57+00:00,USD
TSLA,Y,11,1.0000000000000003e-05,1.0,0.0,0.0,148.2,0.0,0.0,105.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,60.0,2146,0.500005,N,REGULAR,TSLA241108C00105000,2024-11-05 20:35:17+00:00,USD,REGULAR,TSLA241108P00105000,2024-11-05 20:10:45+00:00,USD
TSLA,Y,1,1.0000000000000003e-05,1.0,0.0,0.0,139.5,131.5,135.1,110.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,70.0,4251,0.500005,N,REGULAR,TSLA241108C00110000,2024-10-04 14:55:39+00:00,USD,REGULAR,TSLA241108P00110000,2024-11-05 20:16:18+00:00,USD
TSLA,Y,2,1.0000000000000003e-05,1.0,0.0,0.0,135.45,0.0,0.0,115.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,123.0,4553,0.500005,N,REGULAR,TSLA241108C00115000,2024-11-01 14:05:57+00:00,USD,REGULAR,TSLA241108P00115000,2024-11-05 20:27:32+00:00,USD
TSLA,Y,29,1.0000000000000003e-05,3.0,0.0,0.0,129.35,0.0,0.0,120.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,61.0,1103,1.000005,N,REGULAR,TSLA241108C00120000,2024-11-01 19:43:54+00:00,USD,REGULAR,TSLA241108P00120000,2024-11-05 19:46:00+00:00,USD
TSLA,Y,5,1.0000000000000003e-05,3.0,0.0,0.0,124.72,0.0,0.0,130.0,2024-11-08,0.0,0.0,0.01,0.0,0.0,31.0,2167,0.500005,N,REGULAR,TSLA241108C00130000,2024-11-05 17:27:22+00:00,USD,REGULAR,TSLA241108P00130000,2024-11-05 19:53:00+00:00,USD
TSLA,Y,101,1.0000000000000003e-05,5.0,0.0,0.0,117.55,0.0,0.0,135.0,2024-11-08,0.0,0.0,0.02,0.0,0.0,1146.0,9055,0.500005,N,REGULAR,TSLA241108C00135000,2024-11-05 14:50:45+00:00,USD,REGULAR,TSLA241108P00135000,2024-11-05 20:54:00+00:00,USD
